이촌|10454,100128
보라매|10734,180104
신당|10246,10643
정자|20103,110106
천호|10538,10819
원인재|20151,30103
미금|20102,110113
충무로|10322,10456
까치산|10231,10552
공덕|10520,10639,90110,100123
금정|10167,10449
신논현|10917,110116
수서|10340,20121,190106
논현|10724,110114
기흥|20123,130101
노량진|10127,10909
양재|10333,110102
약수|10324,10644
창동|10108,10455
강남|10215,110101
종합운동장|10211,10930
영등포구청|10233,10555
도봉산|10105,10748
석남|10762,30215
신촌|10237,100119
군자|10535,10745
고속터미널|10330,10744,10903
홍대입구|10236,90109,100121
연신내|10312,10645,190104
마곡나루|10913,90114
인천|10152,20157
회기|10115,100145,120123
대방|10128,180102
종로3가|10121,10344,10558
광운대|10111,120125
용산|10126,100146
양평|10513,100150
신길|10129,10554
을지로4가|10244,10557
청구|10528,10646
시청|10123,10252
충정로|10240,10559
노원|10403,10746
구성|20137,190108
올림픽공원|10546,10936
계양|30124,90102
판교|20301,110105
잠실|10209,10818
부평|10143,30123
석계|10112,10642
부천종합운동장|10753,160113
을지로3가|10243,10343
망우|100137,120110
동묘앞|10153,10612
별내|10826,120119
청량리|10116,20143,100134,120124
동대문|10119,10450
상봉|10712,100154,120113
안산|10445,20160
선릉|10213,20120
중앙|10442,20163
삼각지|10420,10641
왕십리|10254,10556,20136,100133
오금|10347,10548
가락시장|10345,10808
샛강|10915,180101
가산디지털단지|10160,10742
옥수|10342,100131
도곡|10335,20117
한대앞|10441,20164
건대입구|10205,10743
성남|20312,190107
석촌|10806,10933
불광|10313,10640
부평구청|10760,30115
백마|100110,160119
수원|10172,20130
초지|10457,20161,160110
고잔|10443,20162
김포공항|10503,10907,90104,160115,170110
교대|10216,10341
여의도|10517,10922
성신여대입구|10410,150103
대림|10226,10747
신도림|10131,10255
일산|100108,160121
디지털미디어시티|10630,90107,100117
인천시청|30109,30225
동대문역사문화공원|10245,10451,10553
태릉입구|10603,10751
소사|10138,160101
중랑|100136,120122
서울역|10124,10453,90108,100120,190105
검암|30207,90101
당산|10234,10910
신림|10223,180108
능곡|100113,160116
신내|10648,120120
동작|10423,10911
모란|10817,20118
회룡|10103,20202
효창공원앞|10621,100126
강남구청|10722,20122
보문|10610,150102
신사|10328,110115
구리|10823,100139
사당|10219,10452
주안|10147,30226
합정|10235,10647
복정|10811,20119
풍산|100109,160120
선정릉|10927,20139
신설동|10118,10253,150101
이매|20113,20302
온수|10136,10749
인천공항1터미널|30301,90106
신길온천|10446,20159
오이도|10448,20144
대곡|10306,100112,160117,190103
정왕|10447,20158
곡산|100111,160118
총신대입구(이수)|10424,10750
